No.,COD DANE DEPTO,DEPARTAMENTO UBICACION DISTRITO,COD DANE MUNICIPIO,MUNICIPIO UBICACION DISTRITO,MUNICIPIOS INFLUENCIA DISTRITO,VEREDA O CORREGIMIENTO,NOMBRE DEL DISTRITO,NOMBRE ASOCIACIÓN DE USUARIOS,NÚMERO ID ASOCIACIÓN,ESCALA DISTRITO,TIPO DE DISTRITO,DISTRITO EN OPERACION (S_N),AREA BRUTA -HA,AREA NETA INICIAL (beneficiada con ADT) - HA,NUMERO FAMILIAS,PRINCIPALES CULTIVOS,CONDICIÓN  JURIDICA DISTRITO,PROPIEDAD,ESTADO DE LA PROPIEDAD,RECURSOS CONSTRUCCIÓN,ADMINISTRADOR,NOMBRE FUENTE HIDRICA,SUBZONA HIDRICA,CAR,CONCESION AGUAS (S_N),NÚMERO CONCESIÓN,CAUDAL CONCESIÓN - LPS,FECHA CONCESIÓN,VIGENCIA CONCESIÓN,LONGITUD,LATITUD,OBSERVACIONES,POLIGONO DE AREA
11,5,ANTIOQUIA,"5,001",MEDELLÍN,MEDELLÍN,"EL LLANO, CORREGIMIENTO SAN CRISTÓBAL",EL LLANO,ASOLLANO,794,Pequeña,Riego,SI,150,150,100,"Flores, Hortalizas, Frutales, Mora, Tomate, Cebolla, Cilantro, Perejil, Lechuga Crespa, Espinaca, Col, Mostaza, Ajo, Aromáticas, Ají, Pimentón, Acelga, Cebolla Junca",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Quebrada La Iguanal,Rio Porce,CORANTIOQUIA,SI,130AN-7906,20,04/23/2008 12:00:00 AM,,75° 37.921' W,6° 16.435' N,Programa Servicios Complementarios 2013.,NO
12,5,ANTIOQUIA,"5,001",MEDELLÍN,MEDELLÍN,EL UVITO,EL UVITO,ASOUVITO,28,Pequeña,Riego,SI,113,113,45,"Cebolla Junca y Cabezona, Cilantro, Tomare, Espinaca, Perejil, Col, Ajo, Apio, Mora, Lulo, Uchuva, Flores, Plátano, Yuca, Maíz, Papa, Alverja, Acelga, Habas, Zuquini, Habichuela, Pepino, Café, Legumbres y Hortalizas, Flores, Aromática",Privado,Asociación,Propio,Otros,Asociación de Usuarios,Quebrada El Uvito o Chupadero,Rio Porce,CORANTIOQUIA,SI,,,,,75° 36.215' W,6° 16.287' N,"No es legible la fecha de la Resolucion, Programa Servicios Complementarios 2013.",NO
13,5,ANTIOQUIA,"5,001",MEDELLÍN,MEDELLÍN,LA ALDEA,LA ALDEA,ASOALDEA,1,Pequeña,Riego,SI,50,50,45,"Caña, Café, Cebolla, Hortalizas, Tomate, Cilantro, Plátano, Pastos",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,"Quebrada La Capsula, Caño Mauricio, Quebrada La Cangreja",Rio Porce,CORANTIOQUIA,SI,,,,,75° 38.412' W,6° 17.658' N,Programa Servicios Complementarios 2013.,NO
14,5,ANTIOQUIA,"5,001",MEDELLÍN,MEDELLÍN,VOLCANA,VOLCANA - GUAYABAL,ASOVOLCANA,29,Pequeña,Riego,NO,130,130,89,"Café, Plátano, Frutales, Hortaliza, Cebolla, Caña, Mora, Helecho, Legumbres, Tomate, Cilantro, Cebolla Junca",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,"Quebrada la Volcanita,  Quebrada La Copa, Nacimientos",Rio Porce,CORANTIOQUIA,NO,,,,,75° 37.222' W,6° 15.178' N,,NO
15,5,ANTIOQUIA,"5,501",OLAYA,OLAYA,EL GUAYABO,EL GUAYABO,ASOGUAYABO,8,Pequeña,Riego,SI,27,27,60,"Zapote, Papaya, Café, Plátano, Maíz, Fríjol",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Quebrada La Barbuda,Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,NO,,,,,75° 49.345' W,6° 35.946' N,Programa Servicios Complementarios 2014.,NO
16,5,ANTIOQUIA,"5,501",OLAYA,OLAYA,LLANADAS,LLANADAS,ASOLLANADAS,11,Pequeña,Riego,SI,130,130,62,"Café, Plátano, Yuca, Maracuyá, Caña, Pastos, Tomate, Frutales, Cebolla Junca, Breva, Fríjol, Hortalizas, Mango, Papaya, Sandía, Maíz, Legumbres",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Quebrada La Trampa,Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,SI,,,,,75° 48.284' W,6° 35.718' N,Programa Servicios Complementarios 2013.,NO
17,5,ANTIOQUIA,"5,501",OLAYA,OLAYA,PIÑONES,PIÑONES,ASOPIÑONES,16,Pequeña,Riego,SI,50,50,48,"Cebolla Junca, Breva, Café, Limón, Maracuyá, Estropajo, Plátano, Frutales, Maíz, Papa, Fríjol, Gulupa, Tomate de Árbol, Fresa, Mora, Granadilla, Uchuva",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,"Quebrada Montires, Nuarque",Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,SI,,,,,75° 46.365' W,6° 36.354' N,Programa Servicios Complementarios 2014.,NO
18,5,ANTIOQUIA,"5,501",OLAYA,OLAYA,QUEBRADA SECA,QUEBRADA SECA,ASOQUEBRADA SECA,"1,213",Pequeña,Riego,SI,30,30,96,"Papaya, Maracuyá, Naranja, Mango, Yuca, Sandía, Maíz, Tamarindo",Público,ADR,Legalizado,Públicos,ADR,Quebrada Seca,Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,SI,130HX-4614,2.3,03/13/2008 12:00:00 AM,03/13/2018 12:00:00 AM,75° 46.990' W,6° 35.133' N,"Mayo-2018: La UTT de la ADR reporta que el distrito esta en operación, se esta realizando rehabilitación desde 2017 mediante contrato 617. La Captación es compartido con el Acueducto veredal, despues del desaredador se dividen las conudciones una para el distrito y otra para el Acueducto. 
Programa Servicios Complementarios 2014, Distrito que no opera como riego, estructura de bocatoma averiada y tiene personeria juridica Informacion Direccion Territorial Informacion DTAD Base de Datos Ambiental.",SI
19,5,ANTIOQUIA,"5,501",OLAYA,OLAYA,"SUCRE, TAHAMI",TAHAMI,ASOTAHAMI,23,Pequeña,Riego,SI,34,34,39,"Papaya, Maracuyá, Zapote, Mango, Aguacate, Naranja, Hortalizas, Tamarindo",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Quebrada Tahami,Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,NO,,,,,75° 46.560' W,6° 35.293' N,Programa Servicios Complementarios 2014.,NO
20,5,ANTIOQUIA,"5,543",PEQUE,PEQUE,LLANO DEL PUEBLO,LLANO DEL PUEBLO,ASOLLANO DEL PUEBLO,"1,096",Pequeña,Riego,SI,15,15,15,"Café, Fríjol, Plátano, Granadilla, Pastos, Caña, Frutales",Público,ADR,Legalizado,Públicos,ADR,Quebrada El Termal,Directos Rio Cauca entre Rio San Juan y Pto Valdia,CORPOURABA,NO,,,,,75° 55.593' W,7° 1.252' N,Tramite de Personeria Juridica ante al INCODER.,SI
21,5,ANTIOQUIA,"5,628",SABANALARGA,SABANALARGA,"EL JUNCO, LA ERMITA Y MACHADO",EL JUNCO,ASOJUNCO,10,Pequeña,Riego,SI,200,200,67,"Zapote, Papaya, Café, Cacao, Caña, Fríjol, Pastos, Papa, Tomate de Árbol, Mora",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,"Quebrada El Junca, La Peña",Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,NO,,,,,74° 56.432' W,10° 47.893' N,,NO
22,5,ANTIOQUIA,"5,656",SAN JERÓNIMO,SAN JERÓNIMO,ALTO COLORADO,ALTO COLORADO,ASOALTOCOLORADO,"1,094",Pequeña,Riego,SI,29,29,29,"Café, Plátano, Cebolla, Hortalizas, Frutales, Frijol, Yuca, Pastos Cebolla Junca, Cilantro, Ganadería, Alverja, Tomate",Privado,Asociación,Propio,Otros,Asociación de Usuarios,Quebrada La Clara,Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,SI,,,,,75° 42.688' W,6° 26.252' N,Programa Servicios Complementarios 2013.,NO
23,5,ANTIOQUIA,"5,656",SAN JERÓNIMO,SAN JERÓNIMO,"EL CEDRAL, ALTO COLOMBIA",EL CEDRAL,ASOELCEDRAL,"1,093",Pequeña,Riego,SI,50,50,27,"Café, Verdura, Hortalizas, Frutas, Aguacate, Plátano, Cebolla Junca, Cilantro, Ganadería, Fríjol , Tomate",Privado,Asociación,Propio,Otros,Asociación de Usuarios,Quebrada La Clara,Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,SI,,,,,75° 42.079' W,6° 26.398' N,Programa Servicios Complementarios 2013.,NO
24,5,ANTIOQUIA,"5,656",SAN JERÓNIMO,SAN JERÓNIMO,CIÉNAGA,LA CIÉNAGA,ASOCIENAGA,"1,095",Pequeña,Riego,SI,30,30,40,"Café, Plátano, Hortalizas, Cebolla Junca, Cilantro, Pastos Yuca, Pancoger, Tomate, Pepino, Frutales, Cítricos, Caña, Frijol, Lulo",Privado,Asociación,Propio,Otros,Asociación de Usuarios,Quebrada Ramírez,Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,SI,,,,,75° 41.755' W,6° 26.040' N,Programa Servicios Complementarios 2013.,NO
25,5,ANTIOQUIA,"5,656",SAN JERÓNIMO,SAN JERÓNIMO,"PALO BLANCO, ENCENILLO, GUAYABO",LOS ALTICOS,ASOALTICOS,2,Pequeña,Riego,SI,90,90,60,"Café, Plátano, Caña, Frutales, Yuca, Tomate, Frijol, Cebolla Junca, Pastos, Hortalizas, Maíz,",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,"Quebradas Arias, Corrucutú",Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,SI,,,,,75° 41.717' W,6° 25.431' N,Programa Servicios Complementarios 2013.,NO
26,5,ANTIOQUIA,"5,656",SAN JERÓNIMO,SAN JERÓNIMO,QUIMBAYO Y LOS ALTICOS,QUIMBAYO,ASOQUIMBAYO,19,Pequeña,Riego,SI,200,200,106,"Zapote, Papaya, Plátano, Frutales, Café, Hortalizas, Yuca, Tomate, Pastos, Fríjol, Maíz, Arracacha, Aguacate, Uchuva, Granadilla, Yuca, Tomate de Árbol, Cebolla",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,"Quebrada Churimba, Quebrada La Grande",Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,NO,,,,,75° 42.255' W,6° 25.765' N,,NO
27,5,ANTIOQUIA,"5,674",SAN VICENTE,SAN VICENTE,CORRIENTES,CORRIENTES,ASOCORRIENTES,5,Pequeña,Riego,SI,150,150,73,"Pastos, Cebolla, Repollo, Fríjol, Papa, Tomate",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,"Quebrada Los Cachos, Quebrada La Magdalena",Rio Nare,CORNARE,NO,,,,,75° 18.581' W,6° 16.122' N,,NO
28,5,ANTIOQUIA,"5,674",SAN VICENTE,SAN VICENTE,LA MAGDALENA,LA MAGDALENA,ASOMAGDALENA,12,Pequeña,Riego,SI,96,96,48,"Papa, Maíz, Fríjol, Gulupa, Tomate de Árbol, Fresa, Mora, Granadilla, Uchuva, Tomate",Privado,Asociación,Propio,Otros,Asociación de Usuarios,"Quebrada La Magdalena, Quebrada San Gerbacio",Rio Nare,CORNARE,SI,,,,,75° 16.700' W,6° 18.294' N,Programa Servicios Complementarios 2013.,NO
29,5,ANTIOQUIA,"5,042",SANTAFÉ DE ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,EL PLAN,EL PLAN,ASOPLAN,17,Pequeña,Riego,SI,74,74,37,"Maracuyá, Café, Plátano, Tomate, Fríjol, Maíz, Hortalizas",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Quebrada La Manzana,Directos Rio Cauca entre Rio San Juan y Pto Valdia,CORANTIOQUIA,SI,,,,,75° 57.538' W,6° 31.637' N,Programa Servicios Complementarios 2014.,NO
30,5,ANTIOQUIA,"5,042",SANTAFÉ DE ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,EL TUNAL,EL TUNAL,ASOTUNAL,24,Pequeña,Riego,SI,250,250,57,"Ganadería Extensiva, Plátano, Café, Cacao, Papaya, Fríjol, Melón, Maíz, Maracuyá, Pastos, Caña, Pastos, Frutales, Yuca, Tomate, Tamarindo, Mango, Papaya",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Quebrada La Peña,Directos Rio Cauca entre Rio San Juan y Pto Valdia,CORANTIOQUIA,SI,,,,,75° 50.697' W,6° 34.252' N,Programa Servicios Complementarios 2013.,NO
31,5,ANTIOQUIA,"5,761",SOPETRAN,SOPETRAN,SAN NICOLÁS,CONSEJO COMUNITARIO SAN NICOLÁS,ASOSANNICOLAS,"1,214",Pequeña,Riego,SI,30,30,75,Vainilla,Privado,Asociación,Propio,Otros,Asociación de Usuarios,Quebrada La Cangreja,Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,NO,,,,,75° 45.282' W,6° 30.935' N,,NO
32,5,ANTIOQUIA,"5,761",SOPETRAN,SOPETRAN,LA PUERTA,LA PUERTA,ASOPUERTA,18,Pequeña,Riego,SI,60,60,22,"Maíz, Yuca, Plátano, Maracuyá, Papaya, Guanábana, Sandía, Cítricos, Café, Tomate, Pastos, Piscicultura, Frutales, Mango",Privado,Asociación,Propio,Otros,Asociación de Usuarios,"Quebrada La Sucia, Quebrada Vita, Quebrada Carracuchera",Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,SI,,,,,75° 44.499' W,6° 33.313' N,Programa Servicios Complementarios 2013.,NO
33,5,ANTIOQUIA,"5,761",SOPETRAN,SOPETRAN,"LLANO DE MONTAÑA, CHAGUALAR Y EL PALMAR",LLANO DE MONTAÑA,ASOMONTAÑA,14,Pequeña,Riego,SI,126,126,132,"Flores, Cacao, Mango, Maíz, Plátano, Yuca, Zapote, Papaya, Frutales, Pastos, Piscicultura, Banano, Ganadería, Fríjol, Papa, Aguacate, Café",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Quebrada La Sopetrana,Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,SI,,,,,75° 46.873' W,6° 29.991' N,Programa Servicios Complementarios 2013.,NO
34,5,ANTIOQUIA,"5,761",SOPETRAN,SOPETRAN,OTRABANDA,OTRABANDA,ASOTRABANDA,26,Pequeña,Riego,SI,84,84,46,"Zapote, Papaya, Plátano",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Quebrada La Sopetrana,Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,NO,,,,,75° 48.890' W,6° 28.924' N,"Distrito con Licencia Ambiental a nombre del INAT, donde en reuniones con la Corporacion se evidencio el incumplimiento en las obligaciones, este requerimiento se remitio a la Direccion Tecnica de Infraestructura en el 2014, para que se estudie y se tome las acciones pertinentes para subsanar este inconveniente, por lo anterior fue revocada la licencia a la asociacion.",NO
35,5,ANTIOQUIA,"5,761",SOPETRAN,SOPETRAN,SANTA RITA,SANTA RITA,ASOSANTA RITA,21,Pequeña,Riego,SI,100,100,69,"Café, Mango, Papaya, Maracuyá, Mandarina, Zapote, Tomate",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,"Quebradas Vita, Carrachuchera",Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,SI,,,,,76° 7.868' W,6° 23.779' N,Se Ingreso por la Direccion Territorial a Cambio de SAN ISIDRO .,NO
36,5,ANTIOQUIA,"5,789",TÁMESIS,TÁMESIS,"OTRABANDA, COLOSAL",OTRABANDA,ASOTRABANDA,27,Pequeña,Riego,SI,93,93,38,"Frutales, Ganadería, Pancoger, Café, Piscicultura, Cítricos, Plátano",Público,ADR,Legalizado,Públicos,ADR,Quebrada Río Claro,Rio Frio y Otros Directos al Cauca,CORANTIOQUIA,NO,,,,,75° 43.048' W,5° 39.218' N,,SI
37,5,ANTIOQUIA,"5,789",TÁMESIS,TÁMESIS,SAN ISIDRO,SAN ISIDRO,ASOSANISIDRO,20,Pequeña,Riego,SI,93,93,98,"Cítricos, Café, Plátano, Aguacate, Cacao",Público,ADR,Legalizado,Públicos,ADR,,Rio Frio y Otros Directos al Cauca,CORANTIOQUIA,SI,,,,,75° 42.573' W,5° 39.958' N,,NO
38,5,ANTIOQUIA,"5,847",URRAO,URRAO,CHUSCAL,EL CHUSCAL,ASOCHUSCAL,"1,104",Pequeña,Riego,SI,258,258,90,"Frijol, Granadilla, Lulo, Tomate, Tomate de Árbol, Maíz",Público,Por definir,Sin transferir,Públicos,Asociación de Usuarios,Río Urrao,Rio Murri,CORPOURABA,SI,,,,,76° 8.575' W,6° 22.260' N,"No tiene Personeria Juridica, Se Ingreso por la Direccion Territorial a Cambio de MEMBRILLAL.",NO
39,5,ANTIOQUIA,"5,847",URRAO,URRAO,EL PASO,EL PASO,ASOPASO,15,Pequeña,Riego,SI,300,300,46,"Legumbres, Fríjol, Tomate de Árbol, Pasto, Pancoger, Tomate, Granadilla",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Río Urrao,Rio Murri,CORPOURABA,NO,,,,,76° 3.686' W,6° 17.905' N,,NO
40,5,ANTIOQUIA,"5,847",URRAO,URRAO,"GRANJA BONITA, LA VENTA, PALERMO, LA ARCILLAY EL SECTOR DEL SALADITO",GRANJA BONITA,ASOGRANJA BONITA,6,Pequeña,Riego,SI,300,300,75,"Tomate, Fríjol, Granadilla, Aguacate, Maíz, Ganadería, Pastos, Lulo, Cilantro, Cebolla, Pancoger, Curuba, Tomate de Árbol",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Quebrada Manantiales,Rio Murri,CORPOURABA,SI,,,,,76° 5.333' W,6° 19.098' N,Programa Servicios Complementarios 2013.,NO
41,5,ANTIOQUIA,"5,847",URRAO,URRAO,GUAPANTAL,GUAPANTAL,ASOGUAPANTAL,7,Pequeña,Riego,SI,200,200,55,"Fríjol, Tomate de Árbol, Tomate, Granadilla, Maíz, Papa, Alverja, Aguacate, Uchuva, Ganadería, Papa, Curuba, Fresa, Repollos, Hortalizas, Pastos Pancoger, Lulo",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,"Río Urrao, El Grillo",Rio Murri,CORPOURABA,SI,,,,,76° 8.079' W,6° 25.971' N,Programa Servicios Complementarios 2013.,NO
42,5,ANTIOQUIA,"5,847",URRAO,URRAO,LA HONDA,LA HONDA,ASOHONDA,9,Pequeña,Riego,SI,286,286,60,"Fríjol, Café, Plátano, Maíz, Arracacha, Aguacate, Uchuva, Granadilla, Yuca, Tomate de Árbol, Tomate, Cebolla, Pastos, Legumbres, Papa, Maracuyá, Curuba",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Quebrada La Honda,Rio Murri,CORPOURABA,SI,,,,,76° 6.722' W,6° 21.195' N,Programa Servicios Complementarios 2013.,NO
43,8,ATLÁNTICO,"8,141",CANDELARIA,CANDELARIA,MIRADOR,COCO,ASOSANTODOMINGO,"1,317",Pequeña,Riego,NO,1,1,30,"Pastos, maíz y yuca",Público,ADR,Legalizado,Públicos,ADR,Arroyo Santo Domingo,Directos al Bajo Magdalena entre Calamar y desembocadura,CRA,NO,,,,,74° 54.491' W,10° 30.596' N,"Mayo-2018: La ADR realizó visita verificnado que el distrito no esta operando y por consiguiente no esta cumpliendo con sus funciones, el Distrito ingresa el proceso para darlo de baja. 
Distritos para procedimiento de baja contable. Es un lago, lo utizaban para abrevadero,sus obras de contencion fueron afectadas por ola invernal 2010-2011; Los informes no viabilizan la rehabilitacion ya que este distrito no se construyo un sistema de riego Informacion DTAD - Reservorio.  Se remitieron a Secretaria General para dar tramite de baja contable, se recomienda hacer inventario de la infraestructura y verificar el predio del lago a nombre de quien se encuentra.",NO
44,8,ATLÁNTICO,"8,141",CANDELARIA,CANDELARIA,,LOMA DEL CABALLO,ASOLOMA,"1,216",Pequeña,Riego,NO,1,1,20,"Pastos , maíz y yuca",Público,ADR,Legalizado,Públicos,ADR,,Directos al Bajo Magdalena entre Calamar y desembocadura,CRA,NO,,,,,74° 52.872' W,10° 30.499' N,"Mayo-2018: La ADR realizó visita verificnado que el distrito no esta operando y por consiguiente no esta cumpliendo con sus funciones, el Distrito ingresa el proceso para darlo de baja. 
Distritos para procedimiento de baja contable. El lago fue danado, por la ola invernal de 2010-2011; Los informes no viabilizan la rehabilitacion Informacion DTAD - se han realizado tres visitas tecnicas Beneficia a 20 ha, no existe infraestructura de riego, el lago esta seco, nunca funciono el distrito y se utilizo para abrevaderos se recomienda hacer inventario de la infraestructura y verificar el predio del lago a nombre de quien se encuentra.",NO
101,15,BOYACÁ,"15,296",GAMEZA,GAMEZA,"VILLA GIRÓN, SATOBA, GUANTO",REMOLIMO,ASOREMOLINO,150,Pequeña,Riego,SI,165,165,130,"Papa, Haba, Hortalizas, ,Cebolla, Lechuga,, Maíz, Alverja, Frijol, Cebolla, Pradera en Kicuyo",Privado,Asociación,Propio,AIS 2009,Asociación de Usuarios,Río Las Playas,,CORPOBOYACA,SI,,,,,SIN INFORMACIÓN,SIN INFORMACIÓN,,NO
